Name	Formula	SMILES	Mass	Source	ID
Methylamine	CH5N	CN	31.042199165	HMDB	HMDB0000164
Cyanamide	CH2N2	NC#N	42.021798074	HMDB	HMDB0250603
Formamidine	CH4N2	NC=N	44.037448137	HMDB	HMDB0252441
Ethylamine	C2H7N	CCN	45.057849229	HMDB	HMDB0013231
Aminomethanol	CH5NO	NCO	47.037113785	HMDB	HMDB0248322
Propargylamine	C3H5N	NCC#C	55.042199165	HMDB	HMDB0256820
Aminoacetonitrile	C2H4N2	NCC#N	56.037448137	HMDB	HMDB0248309
3-AMINO-1-PROPENE	C3H7N	C=CCN	57.057849224	MoNA	JP009381
Allylamine	C3H7N	NCC=C	57.057849229	HMDB	HMDB0168957
Acetamidine	C2H6N2	CC(N)=N	58.053098201	HMDB	HMDB0252005
2-Aminoacetaldehyde	C2H5NO	NCC=O	59.037113787	HMDB	HMDB0248308
Guanidine	CH5N3	NC(N)=N	59.048347175	HMDB	HMDB0001842
n-Propylamine	C3H9N	CCCN	59.073499288	MoNA	OUF00395
PROPYLAMINE	C3H9N	CCCN	59.073499288	MoNA	JP010322
2-PROPYLAMINE	C3H9N	CC(C)N	59.073499288	MoNA	JP000229
1-Propylamine	C3H9N	CCCN	59.073499293	HMDB	HMDB0034006
ISOPROPYLAMINE	C3H9N	CC(C)N	59.073499293	HMDB	HMDB0253679
Urea; AIF; CE10; MS2Dec	CH4N2O	N=C(O)N	60.032362748	MoNA	MoNA018663
Urea; AIF; CE0; MS2Dec	CH4N2O	N=C(O)N	60.032362748	MoNA	MoNA018662
urea	CH4N2O	N=C(O)N	60.032362748	MoNA	FiehnLib000352
ETHYLENEDIAMINE	C2H8N2	NCCN	60.068748256	MoNA	JP003993
1,2-Ethanediamine	C2H8N2	NCCN	60.068748266	HMDB	HMDB0031225
Ethane-1,1-diamine	C2H8N2	CC(N)N	60.068748266	HMDB	HMDB0252000
Thioformamide	CH3NS	NC=S	60.998620275	HMDB	HMDB0259012
Ethanolamine; AIF; CE30; CorrDec	C2H7NO	OCCN	61.052763844	MoNA	MoNA019552
Ethanolamine; AIF; CE10; CorrDec	C2H7NO	OCCN	61.052763844	MoNA	MoNA019551
Ethanolamine; AIF; CE0; CorrDec	C2H7NO	OCCN	61.052763844	MoNA	MoNA019550
Ethanolamine; AIF; CE30; MS2Dec	C2H7NO	OCCN	61.052763844	MoNA	MoNA019549
Ethanolamine; AIF; CE10; MS2Dec	C2H7NO	OCCN	61.052763844	MoNA	MoNA019548
Ethanolamine; AIF; CE0; MS2Dec	C2H7NO	OCCN	61.052763844	MoNA	MoNA019547
2-Aminoethanol	C2H7NO	NCCO	61.052763844	MoNA	OUF00019
2-AMINO-1-ETHANOL	C2H7NO	NCCO	61.052763844	MoNA	JP001834
1-Aminoethanol	C2H7NO	CC(N)O	61.052763849	HMDB	HMDB0243824
Ethanolamine	C2H7NO	NCCO	61.052763851	HMDB	HMDB0000149
3-Aminopropionitrile	C3H6N2	NCCC#N	70.053098192	MoNA	KO002127
3-Aminopropionitrile fumarate	C3H6N2	NCCC#N	70.053098192	MoNA	PR010132
Beta-Aminopropionitrile	C3H6N2	NCCC#N	70.053098202	HMDB	HMDB0004101
1-Aminocyclopropanol	C3H7NO	NC1(O)CC1	73.052763849	HMDB	HMDB0243823
Propanal, 2-amino-	C3H7NO	CC(N)C=O	73.052763849	HMDB	HMDB0245023
3-Aminopropionaldehyde	C3H7NO	NCCC=O	73.052763851	HMDB	HMDB0001106
Aminoacetone	C3H7NO	CC(=O)CN	73.052763851	HMDB	HMDB0002134
METHYLGUANIDINE	C2H7N3	CN=C(N)N	73.06399722399999	MoNA	CCMSLIB00000577941
Butylamine	C4H11N	CCCCN	73.08914935199999	MoNA	SM817603
Isobutylamine	C4H11N	NCC(C)C	73.08914935199999	MoNA	FiehnHILIC002021
TERT-BUTYLAMINE	C4H11N	CC(C)(C)N	73.08914935199999	MoNA	JP011055
1-METHYLPROPYLAMINE	C4H11N	CCC(C)N	73.08914935199999	MoNA	JP008851
2-METHYL-2-PROPYLAMINE	C4H11N	CC(C)(C)N	73.08914935199999	MoNA	JP000233
2-BUTYLAMINE	C4H11N	CCC(C)N	73.08914935199999	MoNA	JP000232
butan-1-amine	C4H11N	CCCCN	73.08914935199999	MoNA	HMDB0031321_c_ms_100718
n-Butylamine	C4H11N	CCCCN	73.089149352	MoNA	OUF00382
1-BUTANAMINE	C4H11N	CCCCN	73.089149352	MoNA	JP001284
1-Butylamine	C4H11N	CCCCN	73.089149357	HMDB	HMDB0031321
sec-Butylamine	C4H11N	CCC(C)N	73.089149357	HMDB	HMDB0032179
