Name	Formula	SMILES	Mass	Source	ID
5-Hydroxy-1,2,3-triazole	C2H3N3O	OC1=CN=NN1	85.027611716	MoNA	ETS00122
1H-1,2,3-triazole-5-OH	C2H3N3O	Oc1cnn[nH]1	85.027611716	MoNA	EQ318656
Phenol	C6H6O	OC1=CC=CC=C1	94.041864814	HMDB	HMDB0000228
3-Pyridinol	C5H5NO	OC1=CC=CN=C1	95.03711378	MoNA	SM804503
3-Hydroxypyridine	C5H5NO	C1=CC(=CN=C1)O	95.03711378	MoNA	PT207643
2-Hydroxypyridine; AIF; CE30; MS2Dec	C5H5NO	OC1=NC=CC=C1	95.03711378	MoNA	MoNA019477
2-Hydroxypyridine; AIF; CE10; MS2Dec	C5H5NO	OC1=NC=CC=C1	95.03711378	MoNA	MoNA019476
2-Hydroxypyridine; AIF; CE0; MS2Dec	C5H5NO	OC1=NC=CC=C1	95.03711378	MoNA	MoNA019475
2-Hydroxypyridine; AIF; CE30; CorrDec	C5H5NO	OC1=NC=CC=C1	95.03711378	MoNA	MoNA019474
2-Hydroxypyridine; AIF; CE10; CorrDec	C5H5NO	OC1=NC=CC=C1	95.03711378	MoNA	MoNA019473
2-Hydroxypyridine; AIF; CE0; CorrDec	C5H5NO	OC1=NC=CC=C1	95.03711378	MoNA	MoNA019472
2-PYRIDONE	C5H5NO	OC1=NC=CC=C1	95.03711378	MoNA	MoNA016594
2-Pyridinol	C5H5NO	Oc(c1)nccc1	95.03711378	MoNA	KO003090
4-Hydroxypyridine	C5H5NO	Oc(c1)ccnc1	95.03711378	MoNA	OUF00068
2-Hydroxypyridine	C5H5NO	OC1=CC=CC=N1	95.037113787	HMDB	HMDB0013751
5-Hydroxypyrimidine	C4H4N2O	OC1=CN=CN=C1	96.032362757	HMDB	HMDB0246813
Moniliformin	C4H2O3	OC1=CC(=O)C1=O	98.00039393	HMDB	HMDB0254845
1H-Pyrrole-2,5-diol	C4H5NO2	OC1=CC=C(O)N1	99.032028405	HMDB	HMDB0244903
PHENOL (2,3,4,5,6-D5)	C6H6O	[2H]c(c([2H])1)c([2H])c([2H])c(O)c([2H])1	99.073248542	MoNA	JP008782
Thiophen-2-ol	C4H4OS	OC1=CC=CS1	99.998285923	HMDB	HMDB0259026
2H-Imidazol-2-one, 1,3-dihydro-4-hydroxy-	C3H4N2O2	OC1=CNC(=O)N1	100.027277377	HMDB	HMDB0253419
hydroxyoxazolone	C3H3NO3	OC1=COC(=O)N1	101.011292961	HMDB	HMDB0253283
2-OH-benzyl	C7H7O	[CH2]C1=CC=CC=C1O	107.049689845	HMDB	HMDB0245279
3-Hydroxybenzyl	C7H7O	[CH2]C1=CC(O)=CC=C1	107.049689845	HMDB	HMDB0245892
4-Hydroxybenzyl	C7H7O	[CH2]C1=CC=C(O)C=C1	107.049689845	HMDB	HMDB0246452
Para-cresol	C7H8O	OC1=CC=C(C=C1)C	108.057514876	MoNA	MoNA001670
META-METHYLPHENOL	C7H8O	Cc(c1)cc(O)cc1	108.057514876	MoNA	JP004015
ORTHO-METHYLPHENOL	C7H8O	Cc(c1)c(O)ccc1	108.057514876	MoNA	JP004014
